帧ID 时间戳 目标ID 距离 角度 速度
498 1695523800.303749 4 152.1 -8.2 -5.64
499 1695523800.303749 6 26.4 -17.1 -5.45
500 1695523800.303749 8 14.1 40.4 -4.12
501 1695523800.303749 9 39.7 -14.2 -5.56
502 1695523800.303749 10 112.6 -5.6 -5.63
503 1695523800.303749 12 26.1 -1.9 0.62
504 1695523800.303749 13 25.1 11.8 -5.48
505 1695523800.303749 14 75.4 -1.6 -5.64
506 1695523800.303749 16 31 -16.2 -5.49
507 1695523800.303749 17 79.9 -5.8 10.09
508 1695523800.303749 21 34.1 6.9 -5.56
509 1695523800.303749 24 47.9 2.9 -5.59
510 1695523800.303749 30 58.7 -9.7 0.57
511 1695523800.303749 31 15.2 26.5 -5.05
512 1695523800.303749 32 102.7 -4.8 -5.65
513 1695523800.303749 35 17.1 18.5 -5.34
514 1695523800.303749 36 48.1 -13.6 -5.55
515 1695523800.303749 37 11.6 51.1 -3.99
516 1695523800.303749 38 22.5 -20.4 -5.43
517 1695523800.303749 43 80.1 -3.2 10.08
518 1695523800.303749 45 10.5 41 -4.55
519 1695523800.303749 51 16 -29.2 -5.16
520 1695523800.303749 52 89.3 -3.7 -5.67
521 1695523800.303749 53 9.5 -51.2 -4.41
522 1695523800.303749 54 59.2 0.8 -5.62
523 1695523800.303749 56 167.4 -7.7 -5.63
524 1695523800.303749 59 81.7 3.8 -5.66
525 1695523800.303749 60 122 5.8 -5.62
526 1695523800.507997 4 151 -8 -5.67
527 1695523800.507997 6 25 -18.4 -5.45
528 1695523800.507997 7 11 35.7 -4.58
529 1695523800.507997 9 37.8 -14.4 -5.56
530 1695523800.507997 10 111.5 -5.5 -5.7
531 1695523800.507997 12 26.2 -2 0.49
532 1695523800.507997 13 23.3 13.2 -5.48
533 1695523800.507997 14 74.3 -1.1 -5.65
534 1695523800.507997 16 30 -17 -5.55
535 1695523800.507997 17 82.2 -6 10.13
536 1695523800.507997 21 32.9 7.4 -5.57
537 1695523800.507997 24 46.4 3.6 -5.64
538 1695523800.507997 26 81 -4.6 -5.7
539 1695523800.507997 28 32.3 -37.8 -4.66
540 1695523800.507997 30 58.8 -9.7 0.57
541 1695523800.507997 31 9.6 51.1 -4.12
542 1695523800.507997 32 101.6 -5 -5.71
543 1695523800.507997 35 16 20.4 -5.31
544 1695523800.507997 36 47 -13.2 -5.59
545 1695523800.507997 40 47.1 -10.6 -5.62
546 1695523800.507997 43 82.1 -3.1 10.17
547 1695523800.507997 44 93.3 -5.3 -5.67
548 1695523800.507997 47 20.9 -19.7 -5.42
549 1695523800.507997 48 120.8 -5.3 -5.68
550 1695523800.507997 50 59.2 7.4 -5.66
551 1695523800.507997 51 14.7 -30.7 -5.12
552 1695523800.507997 52 88.1 -3.3 -5.72
