帧ID 时间戳 目标ID 距离 角度 速度
1634 1695523807.451660 9 37.3 5.9 -6.34
1635 1695523807.451660 12 27.6 -1.8 0.09
1636 1695523807.451660 14 28 8.4 -6.32
1637 1695523807.451660 16 114 -5 -6.43
1638 1695523807.451660 17 47.6 -12.2 -6.33
1639 1695523807.451660 18 134.2 -4.9 -6.39
1640 1695523807.451660 21 101.5 -3.2 -6.4
1641 1695523807.451660 26 47.3 10.5 -6.34
1642 1695523807.451660 28 165.9 -8.7 -6.37
1643 1695523807.451660 29 36.4 -13.3 -6.27
1644 1695523807.451660 30 8.4 51.1 -4.65
1645 1695523807.451660 33 47 3.1 -6.33
1646 1695523807.451660 35 135.9 2.8 -6.39
1647 1695523807.451660 38 10.1 -45.7 -5.34
1648 1695523807.451660 41 173.1 5.2 -6.37
1649 1695523807.451660 42 157.8 -6.2 -6.36
1650 1695523807.451660 43 60.9 -9.4 -0.23
1651 1695523807.451660 44 27.6 -16.6 -6.27
1652 1695523807.451660 46 13.3 45.1 -4.67
1653 1695523807.451660 47 8.5 44.9 -4.36
1654 1695523807.451660 51 88.2 -3.3 -6.41
1655 1695523807.451660 53 57.2 -11.6 -6.34
1656 1695523807.451660 54 11.8 34.9 -5.34
1657 1695523807.451660 55 102.8 8.5 -6.37
1658 1695523807.451660 57 18.4 17.1 -6.07
1659 1695523807.451660 58 79.6 0 -6.42
1660 1695523807.451660 60 69.5 -0.5 -6.41
1661 1695523807.451660 61 17.4 -25.2 -5.94
1662 1695523807.652652 1 127.4 -5.4 -6.42
1663 1695523807.652652 2 127.1 -6.4 -6.48
1664 1695523807.652652 6 91.9 -3.4 -6.45
1665 1695523807.652652 8 131.3 -3.4 -6.41
1666 1695523807.652652 9 35.6 6.4 -6.41
1667 1695523807.652652 12 27.6 -1.8 0.1
1668 1695523807.652652 14 26.6 9.8 -6.33
1669 1695523807.652652 16 112.7 -5 -6.48
1670 1695523807.652652 17 45.9 -12.9 -6.34
1671 1695523807.652652 18 132.9 -5.1 -6.39
1672 1695523807.652652 21 100.4 -3.1 -6.47
1673 1695523807.652652 27 59.1 2.1 -6.45
1674 1695523807.652652 28 164.6 -8.6 -6.43
1675 1695523807.652652 29 34.3 -14.4 -6.3
1676 1695523807.652652 33 45.7 3.6 -6.33
1677 1695523807.652652 34 10.9 43.1 -5.19
1678 1695523807.652652 37 134.6 4.1 -6.45
1679 1695523807.652652 43 60.8 -9.4 -0.24
1680 1695523807.652652 44 25.5 -17.2 -6.25
1681 1695523807.652652 48 151.7 -5.2 -6.44
1682 1695523807.652652 49 176.9 -6.6 -6.46
1683 1695523807.652652 54 10.9 49.4 -4.73
1684 1695523807.652652 56 56 -11.2 -6.4
1685 1695523807.652652 57 17.1 19.2 -6.07
1686 1695523807.652652 58 78 0.4 -6.48
1687 1695523807.652652 60 68.2 -0.2 -6.47
1688 1695523807.652652 61 15.5 -27.7 -5.74
1689 1695523807.856798 0 133.5 3.8 -6.48
1690 1695523807.856798 2 125.6 -6.1 -6.48
1691 1695523807.856798 3 148.7 -4.2 -6.48
1692 1695523807.856798 6 90.5 -3.2 -6.49
1693 1695523807.856798 8 130.2 -3.4 -6.48
1694 1695523807.856798 9 33.5 7.2 -6.42
1695 1695523807.856798 10 9.9 41.5 -5.06
1696 1695523807.856798 12 27.8 -1.8 0.04
1697 1695523807.856798 14 24.7 11 -6.32
1698 1695523807.856798 15 122.6 -4 -6.48
1699 1695523807.856798 16 111 -5.1 -6.48
1700 1695523807.856798 17 44 -11.8 -6.37
1701 1695523807.856798 20 151.7 -8.8 -6.46
1702 1695523807.856798 21 99.2 -2.9 -6.53
1703 1695523807.856798 23 19.4 -20.7 -6.16
1704 1695523807.856798 27 57.8 2 -6.46
1705 1695523807.856798 28 163.3 -8.7 -6.49
1706 1695523807.856798 29 32.2 -15 -6.36
1707 1695523807.856798 30 26.6 16.8 -6.14
1708 1695523807.856798 32 15.9 35 -5.28
1709 1695523807.856798 33 44.1 3.9 -6.41
1710 1695523807.856798 34 10 51.1 -4.87
1711 1695523807.856798 43 60.8 -9.2 -0.27
1712 1695523807.856798 44 23.4 -19.4 -6.23
1713 1695523807.856798 45 104.3 -4.9 -6.48
1714 1695523807.856798 47 148.7 -9.4 -6.48
1715 1695523807.856798 50 104.3 0.4 -6.48
1716 1695523807.856798 55 138.4 -4.2 -6.48
1717 1695523807.856798 56 54.5 -11.9 -6.43
1718 1695523807.856798 57 15.7 20.3 -6.07
1719 1695523807.856798 58 76.2 0.7 -6.53
1720 1695523807.856798 59 37.8 -30.9 -5.74
1721 1695523807.856798 60 66.9 -0.1 -6.53
1722 1695523807.856798 61 13.6 -31.1 -5.57
1723 1695523808.58552 1 147.9 -7.7 -6.49
1724 1695523808.58552 2 124.2 -5.9 -6.48
1725 1695523808.58552 5 17.8 -24.6 -6.14
1726 1695523808.58552 6 89.1 -3.2 -6.49
1727 1695523808.58552 8 129 -3.5 -6.55
1728 1695523808.58552 9 31.6 7.9 -6.45
1729 1695523808.58552 10 8.9 45.6 -4.76
1730 1695523808.58552 11 162.1 -4.9 -6.5
1731 1695523808.58552 12 28 -1.8 -0.03
1732 1695523808.58552 14 23.2 12.2 -6.31
1733 1695523808.58552 16 109.8 -5.1 -6.48
1734 1695523808.58552 17 42.3 -12.9 -6.45
1735 1695523808.58552 18 173.6 -5.9 -6.5
1736 1695523808.58552 21 98 -2.7 -6.57
1737 1695523808.58552 22 114.4 -8.6 -6.51
1738 1695523808.58552 25 114.4 1.8 -6.51
1739 1695523808.58552 27 56.4 2.1 -6.48
1740 1695523808.58552 29 30.1 -15.7 -6.35
1741 1695523808.58552 32 14.6 38.3 -5.18
1742 1695523808.58552 33 42.8 4.2 -6.48
1743 1695523808.58552 35 106.1 -2.6 -6.52
1744 1695523808.58552 38 122.6 5.6 -6.5
1745 1695523808.58552 43 60.7 -9.4 -0.34
1746 1695523808.58552 44 21.3 -20.8 -6.21
1747 1695523808.58552 46 154.3 -5.6 -6.49
1748 1695523808.58552 56 53.2 -12.1 -6.49
1749 1695523808.58552 57 14.4 23 -6.05
1750 1695523808.58552 58 74.8 0.5 -6.58
1751 1695523808.58552 61 12.2 -36.4 -5.52
1752 1695523808.260788 2 122.7 -5.7 -6.55
1753 1695523808.260788 6 87.8 -3.2 -6.55
1754 1695523808.260788 7 104.7 -1.1 -6.55
1755 1695523808.260788 8 127.8 -3.5 -6.6
1756 1695523808.260788 9 30.1 8.7 -6.48
1757 1695523808.260788 12 28 -1.7 -0.02
1758 1695523808.260788 14 21.6 13.7 -6.31
1759 1695523808.260788 16 108.4 -4.9 -6.55
1760 1695523808.260788 17 40.1 -12.9 -6.49
1761 1695523808.260788 21 96.8 -2.8 -6.57
1762 1695523808.260788 27 55.2 2.1 -6.55
1763 1695523808.260788 29 28 -16.5 -6.35
1764 1695523808.260788 32 13.3 42.6 -4.81
1765 1695523808.260788 33 41.5 4.9 -6.54
1766 1695523808.260788 37 55.8 8.4 -6.55
1767 1695523808.260788 43 60.7 -9.2 -0.4
1768 1695523808.260788 44 19.4 -22.4 -6.21
1769 1695523808.260788 46 152.8 -5.9 -6.53
1770 1695523808.260788 49 80.9 -0.4 -6.56
1771 1695523808.260788 55 172.5 -7.6 -6.55
1772 1695523808.260788 56 51.2 -11.7 -6.52
1773 1695523808.260788 57 8.1 51.1 -4.31
1774 1695523808.260788 58 73.6 0.6 -6.58
1775 1695523808.260788 59 144.5 -5.2 -6.59
1776 1695523808.260788 61 10.4 -42.5 -5.24
1777 1695523808.260788 63 128.8 -2.1 -6.55
1778 1695523808.462422 2 121.2 -5.5 -6.62
1779 1695523808.462422 4 12 31.5 -5.8
1780 1695523808.462422 6 86.5 -2.9 -6.62
1781 1695523808.462422 7 103.1 -1.2 -6.61
1782 1695523808.462422 8 126.6 -3.2 -6.61
1783 1695523808.462422 9 28.5 9.6 -6.49
1784 1695523808.462422 12 27.8 -1.5 -0.03
1785 1695523808.462422 14 20.3 14.9 -6.33
1786 1695523808.462422 16 107.1 -4.9 -6.62
1787 1695523808.462422 17 38.2 -13.8 -6.5
1788 1695523808.462422 21 95.6 -2.7 -6.62
1789 1695523808.462422 22 50.6 6.6 -6.56
1790 1695523808.462422 25 100.3 0.3 -6.62
1791 1695523808.462422 27 53.7 1.9 -6.61
1792 1695523808.462422 29 26.2 -18.1 -6.37
1793 1695523808.462422 32 12.3 46.9 -4.5
1794 1695523808.462422 33 39.9 5.6 -6.59
1795 1695523808.462422 38 16.3 32.9 -5.45
1796 1695523808.462422 43 60.6 -9.2 -0.46
1797 1695523808.462422 44 17.7 -23.9 -6.17
1798 1695523808.462422 56 49 -11.2 -6.52
1799 1695523808.462422 58 72.4 0.4 -6.58
1800 1695523808.462422 61 9.4 -49.3 -5.3
1801 1695523808.462422 62 171.3 -7.7 -6.58
1802 1695523808.663193 2 119.9 -5.4 -6.67
1803 1695523808.663193 4 10.6 43.4 -5.04
1804 1695523808.663193 6 85.2 -2.6 -6.68
1805 1695523808.663193 8 125.4 -3 -6.61
1806 1695523808.663193 9 26.9 10.6 -6.53
1807 1695523808.663193 11 14.6 25.1 -6.05
1808 1695523808.663193 12 27.7 -1.5 -0.09
1809 1695523808.663193 14 18.7 16.9 -6.33
1810 1695523808.663193 16 105.7 -4.5 -6.68
1811 1695523808.663193 17 36 -13.9 -6.5
1812 1695523808.663193 23 150.4 -5.1 -6.61
1813 1695523808.663193 25 98.6 0.5 -6.62
1814 1695523808.663193 27 52.3 2.4 -6.66
1815 1695523808.663193 29 24.1 -18.2 -6.36
1816 1695523808.663193 32 11.4 51.1 -4.45
1817 1695523808.663193 33 37.6 6.3 -6.62
1818 1695523808.663193 39 57.1 -11.3 -6.58
1819 1695523808.663193 43 60.5 -9.2 -0.49
1820 1695523808.663193 44 16.1 -25.7 -6.14
1821 1695523808.663193 45 129.3 3.3 -6.61
1822 1695523808.663193 55 10.2 33.3 -41.19
1823 1695523808.663193 56 46.9 -12.2 -6.55
1824 1695523808.663193 58 71.2 0.6 -6.63
1825 1695523808.663193 60 12 -32.5 -5.73
1826 1695523808.663193 63 169.8 -7.6 -6.62
1827 1695523808.873489 0 141.6 -5.2 -6.65
1828 1695523808.873489 2 118.6 -5.6 -6.68
1829 1695523808.873489 3 145.6 -5.1 -6.63
1830 1695523808.873489 4 9.6 48.7 -4.73
1831 1695523808.873489 5 174.1 -8.4 -6.63
1832 1695523808.873489 6 83.8 -2.4 -6.73
1833 1695523808.873489 8 124.2 -2.9 -6.65
1834 1695523808.873489 9 25.5 11.6 -6.52
1835 1695523808.873489 11 13.5 38.1 -5.26
1836 1695523808.873489 12 27.8 -1.5 -0.14
1837 1695523808.873489 14 17.6 18.6 -6.34
1838 1695523808.873489 16 104.2 -4.8 -6.72
1839 1695523808.873489 17 33.8 -14.4 -6.51
1840 1695523808.873489 25 97.3 0.4 -6.66
1841 1695523808.873489 27 50.8 2.6 -6.66
1842 1695523808.873489 29 22 -19.4 -6.36
1843 1695523808.873489 33 36.2 6.8 -6.6
1844 1695523808.873489 41 55.8 -11.6 -6.6
1845 1695523808.873489 43 60.4 -9.2 -0.49
1846 1695523808.873489 44 14.5 -29.6 -6.09
1847 1695523808.873489 53 110.3 -0.4 -6.67
1848 1695523808.873489 56 45 -12.1 -6.62
1849 1695523808.873489 58 70 0.5 -6.69
1850 1695523809.77779 3 144.2 -5.1 -6.7
1851 1695523809.77779 6 82.5 -2.2 -6.73
1852 1695523809.77779 8 122.9 -2.7 -6.72
1853 1695523809.77779 9 23.6 13.1 -6.5
1854 1695523809.77779 11 12.5 45.2 -4.85
1855 1695523809.77779 12 27.9 -1.2 -0.15
1856 1695523809.77779 14 16.4 23.7 -6.29
1857 1695523809.77779 16 102.9 -4.7 -6.72
1858 1695523809.77779 17 31.7 -15.1 -6.56
1859 1695523809.77779 20 136.2 -5.6 -6.67
1860 1695523809.77779 22 44.6 6.1 -6.62
1861 1695523809.77779 23 167.1 -6.7 -6.66
1862 1695523809.77779 25 96 0.8 -6.72
1863 1695523809.77779 27 49.6 3.3 -6.66
1864 1695523809.77779 29 19.9 -22.2 -6.34
1865 1695523809.77779 30 167.5 -8.4 -6.67
1866 1695523809.77779 33 34.4 7.5 -6.61
1867 1695523809.77779 37 136.1 -7.8 -6.64
1868 1695523809.77779 41 54.5 -11.5 -6.61
1869 1695523809.77779 43 60.3 -9.2 -0.55
1870 1695523809.77779 44 13 -32.4 -6.04
1871 1695523809.77779 45 9.7 -40.7 -5.28
1872 1695523809.77779 47 19.2 28.4 -5.91
1873 1695523809.77779 49 136.1 9.1 -6.64
1874 1695523809.77779 56 43.8 -12.1 -6.65
1875 1695523809.77779 58 68.7 0.8 -6.7
1876 1695523809.77779 62 58.9 2.6 -6.67
1877 1695523809.282458 3 142.1 -4.8 -6.75
1878 1695523809.282458 5 37.4 -13 -6.62
1879 1695523809.282458 6 80.9 -2.1 -6.73
1880 1695523809.282458 8 121.4 -2.8 -6.76
1881 1695523809.282458 9 22.1 14.6 -6.5
1882 1695523809.282458 11 11.1 42.7 -4.64
1883 1695523809.282458 12 27.5 -1 -0.15
1884 1695523809.282458 13 94.1 2.6 -6.7
1885 1695523809.282458 14 15 25.8 -6.23
1886 1695523809.282458 16 101.3 -4.7 -6.72
1887 1695523809.282458 17 29.2 -15.9 -6.55
1888 1695523809.282458 18 141.9 -7.8 -6.7
1889 1695523809.282458 21 111.6 -8.1 -6.7
1890 1695523809.282458 25 94.4 0.9 -6.78
1891 1695523809.282458 26 157.4 -5.8 -6.7
1892 1695523809.282458 27 47.6 3.6 -6.66
1893 1695523809.282458 29 17.5 -23.2 -6.29
1894 1695523809.282458 30 165.6 -8.6 -6.68
1895 1695523809.282458 31 141.4 -9.9 -6.71
1896 1695523809.282458 33 31.9 8.6 -6.62
1897 1695523809.282458 39 97.5 -3.4 -6.73
1898 1695523809.282458 40 111.1 -3.1 -6.7
1899 1695523809.282458 41 52.8 -11.8 -6.66
1900 1695523809.282458 43 60.2 -8.9 -0.6
1901 1695523809.282458 44 11.2 -39.9 -5.87
1902 1695523809.282458 48 171.5 -5.6 -6.7
1903 1695523809.282458 56 41.5 -11.9 -6.64
1904 1695523809.282458 58 67.2 1 -6.7
1905 1695523809.282458 60 24.7 -18.1 -6.52
1906 1695523809.282458 62 57.4 2.6 -6.68
1907 1695523809.483398 3 140.8 -4.9 -6.74
1908 1695523809.483398 4 106.1 2.5 -6.73
1909 1695523809.483398 6 79.6 -1.9 -6.73
1910 1695523809.483398 9 20.7 16.1 -6.49
1911 1695523809.483398 11 9.8 43.6 -4.54
1912 1695523809.483398 12 27.5 -0.7 -0.15
1913 1695523809.483398 14 13.9 27.2 -6.23
1914 1695523809.483398 17 27 -16.7 -6.55
1915 1695523809.483398 24 15.8 36.6 -5.45
1916 1695523809.483398 25 93 1.5 -6.77
1917 1695523809.483398 26 155.9 -5.6 -6.74
1918 1695523809.483398 27 45.4 4.3 -6.66
1919 1695523809.483398 28 170.9 -7.7 -6.7
1920 1695523809.483398 29 15.9 -25 -6.25
1921 1695523809.483398 30 164.3 -8.4 -6.71
1922 1695523809.483398 33 30.5 8.6 -6.62
1923 1695523809.483398 34 110 1.4 -6.73
1924 1695523809.483398 39 96.3 -3.4 -6.73
1925 1695523809.483398 40 109.5 -3.1 -6.75
1926 1695523809.483398 41 51.6 -12 -6.72
1927 1695523809.483398 43 60.1 -9 -0.6
1928 1695523809.483398 44 10.1 -44.4 -5.79
1929 1695523809.483398 47 13.8 43.8 -4.95
1930 1695523809.483398 51 135.3 -5.9 -6.73
1931 1695523809.483398 56 35.6 -13.4 -6.62
1932 1695523809.483398 58 65.9 1.7 -6.73
1933 1695523809.483398 59 145.8 4.1 -6.44
1934 1695523809.483398 62 56.2 2.6 -6.68
1935 1695523809.687580 2 39.8 8.2 -6.66
1936 1695523809.687580 3 139.4 -5.2 -6.74
1937 1695523809.687580 4 104.4 2.6 -6.74
1938 1695523809.687580 6 78.3 -1.9 -6.73
1939 1695523809.687580 9 19 18.2 -6.46
1940 1695523809.687580 11 8.9 47.4 -4.68
1941 1695523809.687580 12 27.5 -0.6 -0.14
1942 1695523809.687580 14 12.8 38.9 -5.61
1943 1695523809.687580 17 24.9 -17.6 -6.53
1944 1695523809.687580 19 172.4 -7.7 -6.73
1945 1695523809.687580 22 157.8 -7.4 -6.74
1946 1695523809.687580 24 12.6 47.4 -4.73
1947 1695523809.687580 25 91.6 1.6 -6.77
1948 1695523809.687580 26 154.3 -5.7 -6.8
1949 1695523809.687580 27 44.1 4.6 -6.71
1950 1695523809.687580 29 14.3 -28.9 -6.16
1951 1695523809.687580 30 163.1 -8.1 -6.77
1952 1695523809.687580 33 29.4 9.3 -6.65
1953 1695523809.687580 34 108.8 1.3 -6.75
1954 1695523809.687580 38 62.3 -10.6 -6.7
1955 1695523809.687580 39 95.1 -3.4 -6.79
1956 1695523809.687580 40 108 -3.2 -6.81
1957 1695523809.687580 41 50.1 -11.6 -6.7
1958 1695523809.687580 42 10.8 33.4 -44.14
1959 1695523809.687580 43 60 -8.9 -0.6
1960 1695523809.687580 44 9 -48.8 -5.73
1961 1695523809.687580 46 77.8 2.3 -6.77
1962 1695523809.687580 50 59.4 -19.7 -6.46
1963 1695523809.687580 56 33.6 -13.7 -6.62
1964 1695523809.687580 57 14.9 22.5 -6.18
1965 1695523809.687580 58 64.5 1.8 -6.8
1966 1695523809.687580 62 55 2.8 -6.7
1967 1695523809.687580 63 126.6 -2.6 -6.77
1968 1695523809.888441 0 96.6 -2 -6.78
1969 1695523809.888441 4 103 2.8 -6.74
1970 1695523809.888441 5 157.1 -7 -6.77
1971 1695523809.888441 7 13.6 28.2 -5.98
1972 1695523809.888441 9 17.8 20.1 -6.45
1973 1695523809.888441 10 17.6 32.7 -5.73
1974 1695523809.888441 11 8 51.1 -4.92
1975 1695523809.888441 12 27.8 -0.7 -0.15
1976 1695523809.888441 14 11.9 45.9 -5.07
1977 1695523809.888441 16 41.1 -12.1 -6.69
1978 1695523809.888441 17 23 -18.6 -6.52
1979 1695523809.888441 19 171 -7.7 -6.73
1980 1695523809.888441 20 10.1 37.8 -5.25
1981 1695523809.888441 21 94 1.8 -6.76
1982 1695523809.888441 25 90.3 1.9 -6.77
1983 1695523809.888441 26 152.9 -5.6 -6.82
1984 1695523809.888441 27 42.9 5.1 -6.74
1985 1695523809.888441 29 12.3 -32.9 -5.87
1986 1695523809.888441 30 161.9 -7.9 -6.77
1987 1695523809.888441 31 131.5 -5.4 -6.77
1988 1695523809.888441 33 27.2 11 -6.65
1989 1695523809.888441 34 107.6 1.3 -6.76
1990 1695523809.888441 38 60.8 -10.5 -6.71
1991 1695523809.888441 39 93.8 -3.2 -6.8
1992 1695523809.888441 40 106.4 -3.4 -6.8
1993 1695523809.888441 41 47.9 -11.8 -6.7
1994 1695523809.888441 43 59.9 -8.9 -0.6
1995 1695523809.888441 46 76.2 1.7 -6.76
1996 1695523809.888441 53 18.4 -22.3 -6.43
1997 1695523809.888441 54 142.6 -6.1 -6.73
1998 1695523809.888441 56 31.4 -14.2 -6.62
1999 1695523809.888441 58 63.3 2.1 -6.78
2000 1695523809.888441 61 149.7 -7.9 -6.74
2001 1695523809.888441 62 53.6 3.1 -6.77
2002 1695523810.90293 2 56.8 -20.7 -6.47
2003 1695523810.90293 4 101.6 3.1 -6.77
2004 1695523810.90293 9 16.6 22.3 -6.41
2005 1695523810.90293 10 16.1 35.3 -5.44
2006 1695523810.90293 12 27.8 -0.6 -0.17
2007 1695523810.90293 13 169.2 -7.4 -6.77
2008 1695523810.90293 14 11 51.1 -4.65
2009 1695523810.90293 15 149.5 -3.5 -6.77
2010 1695523810.90293 16 38.8 -13.1 -6.69
2011 1695523810.90293 17 16.8 -24.7 -6.3
2012 1695523810.90293 22 36.8 -9.1 -6.7
2013 1695523810.90293 25 89 2.2 -6.77
2014 1695523810.90293 27 41.4 5.9 -6.74
2015 1695523810.90293 29 10.5 -38.2 -5.66
2016 1695523810.90293 30 160.6 -8.1 -6.77
2017 1695523810.90293 33 25.1 12.4 -6.62
2018 1695523810.90293 34 106.4 1.6 -6.77
2019 1695523810.90293 37 123.6 -1.8 -6.8
2020 1695523810.90293 38 59.6 -10.4 -6.74
2021 1695523810.90293 39 92 -2.4 -6.8
2022 1695523810.90293 41 45.9 -12.1 -6.72
2023 1695523810.90293 42 36.8 11.3 -6.67
2024 1695523810.90293 43 59.7 -8.9 -0.65
2025 1695523810.90293 47 129.6 -5.1 -6.78
2026 1695523810.90293 50 154.7 -5.7 -6.78
2027 1695523810.90293 54 141.4 -6.2 -6.8
2028 1695523810.90293 55 9.8 37.1 -43.83
2029 1695523810.90293 56 29.3 -14.6 -6.62
2030 1695523810.90293 57 160.9 -3.6 -6.79
2031 1695523810.90293 58 62 2.3 -6.78
2032 1695523810.90293 62 52.3 3.4 -6.82
2033 1695523810.90293 63 12.6 30.4 32.84
2034 1695523810.291592 4 100.2 3.3 -6.82
2035 1695523810.291592 9 15 25.6 -6.27
2036 1695523810.291592 10 14.5 39.4 -5.08
2037 1695523810.291592 12 27.5 -0.1 -0.23
2038 1695523810.291592 14 10.2 51.1 -4.23
2039 1695523810.291592 16 36.6 -13 -6.69
2040 1695523810.291592 17 14.7 -27.6 -6.18
2041 1695523810.291592 23 23.2 -18.2 -6.57
2042 1695523810.291592 25 87.7 2.8 -6.77
2043 1695523810.291592 26 81.8 1.8 -6.79
2044 1695523810.291592 27 40.2 6.3 -6.74
2045 1695523810.291592 29 9.2 -46.6 -5.37
2046 1695523810.291592 30 159.2 -8.1 -6.82
2047 1695523810.291592 33 23.2 13.9 -6.61
2048 1695523810.291592 34 104.7 1.8 -6.84
2049 1695523810.291592 35 9.4 46.2 -5.02
2050 1695523810.291592 37 122.1 -1.9 -6.8
2051 1695523810.291592 38 57.9 -10.5 -6.78
2052 1695523810.291592 39 90.5 -2.5 -6.8
2053 1695523810.291592 40 146.7 -6.9 -6.8
2054 1695523810.291592 41 44.6 -12.1 -6.77
2055 1695523810.291592 42 34.1 9.6 -6.69
2056 1695523810.291592 43 59.6 -8.8 -0.7
2057 1695523810.291592 45 174.5 -9.1 -6.73
2058 1695523810.291592 47 128.3 -5.2 -6.83
2059 1695523810.291592 49 119.9 -5.9 -6.81
2060 1695523810.291592 50 153.2 -5.7 -6.79
2061 1695523810.291592 51 119.9 -0.9 -6.81
2062 1695523810.291592 54 140.1 -6.1 -6.82
2063 1695523810.291592 56 27.3 -16.1 -6.62
2064 1695523810.291592 59 53.6 -10.2 -6.77
2065 1695523810.291592 60 159 -3.5 -6.8
2066 1695523810.291592 62 50.9 3.9 -6.8
2067 1695523810.493303 3 9.4 45.8 -4.87
2068 1695523810.493303 4 98.8 3.6 -6.8
2069 1695523810.493303 8 39.6 -6.9 -6.69
2070 1695523810.493303 9 13.9 36.4 -5.84
2071 1695523810.493303 10 13.3 43.6 -4.82
2072 1695523810.493303 11 145.7 -4.9 -6.77
2073 1695523810.493303 12 27.3 0.1 -0.2
2074 1695523810.493303 15 132.4 -2.8 -6.77
2075 1695523810.493303 16 34.4 -12.9 -6.67
2076 1695523810.493303 17 12.7 -31.2 -5.8
2077 1695523810.493303 18 132.4 5.1 -6.77
2078 1695523810.493303 24 139.1 -5.1 -6.77
2079 1695523810.493303 25 86.3 2.8 -6.77
2080 1695523810.493303 26 80.4 1.7 -6.8
2081 1695523810.493303 27 38.5 6.9 -6.73
2082 1695523810.493303 29 8.2 -51.2 -5.09
2083 1695523810.493303 30 157.8 -8.2 -6.83
2084 1695523810.493303 33 21.3 15.7 -6.57
2085 1695523810.493303 34 103.5 2.1 -6.81
2086 1695523810.493303 36 16.6 23.4 -6.25
2087 1695523810.493303 37 120.5 -1.4 -6.8
2088 1695523810.493303 38 55.9 -10.5 -6.76
2089 1695523810.493303 39 89 -2.2 -6.8
2090 1695523810.493303 41 42.9 -12.1 -6.77
2091 1695523810.493303 42 32 10.2 -6.68
2092 1695523810.493303 43 59.4 -8.7 -0.66
2093 1695523810.493303 46 166.1 -7.5 -6.77
2094 1695523810.493303 48 19.5 -19.4 -6.48
2095 1695523810.493303 50 151.9 -5.5 -6.79
2096 1695523810.493303 54 138.6 -6.1 -6.81
2097 1695523810.493303 55 49.7 -10.9 -6.73
2098 1695523810.493303 56 25.1 -16.2 -6.59
2099 1695523810.493303 62 49.5 4.3 -6.78
2100 1695523810.493303 63 98.2 -2 -6.74
2101 1695523810.740804 3 8.8 48.9 -4.95
2102 1695523810.740804 4 97.8 3.6 -6.8
2103 1695523810.740804 9 13.2 41.6 -5.37
2104 1695523810.740804 10 12.7 46.5 -4.68
2105 1695523810.740804 12 27.2 0.4 -0.17
2106 1695523810.740804 13 15.2 24.4 -6.06
2107 1695523810.740804 15 131.1 -3.1 -6.76
2108 1695523810.740804 16 32.7 -13.9 -6.66
2109 1695523810.740804 17 11.3 -36.6 -5.48
2110 1695523810.740804 18 131.1 4.9 -6.76
2111 1695523810.740804 22 65.6 3.9 -6.75
2112 1695523810.740804 24 138.1 -5 -6.77
2113 1695523810.740804 25 85.3 2.6 -6.77
2114 1695523810.740804 26 79.2 1.8 -6.8
2115 1695523810.740804 27 37.2 7.3 -6.71
2116 1695523810.740804 28 38.7 -7.5 -6.69
2117 1695523810.740804 31 49 -10.6 -6.73
2118 1695523810.740804 33 19.9 17.2 -6.53
2119 1695523810.740804 34 102.5 2.3 -6.79
2120 1695523810.740804 37 118.8 -0.9 -6.79
2121 1695523810.740804 38 54.2 -10.6 -6.73
2122 1695523810.740804 39 88 -1.9 -6.8
2123 1695523810.740804 41 41.2 -12.1 -6.75
2124 1695523810.740804 42 30.9 10.7 -6.67
2125 1695523810.740804 43 59.3 -8.8 -0.65
2126 1695523810.740804 46 165.1 -7.4 -6.77
2127 1695523810.740804 48 18.3 -21.9 -6.42
2128 1695523810.740804 50 150.7 -5.4 -6.78
2129 1695523810.740804 54 137.6 -6.2 -6.8
2130 1695523810.740804 56 23.8 -17.5 -6.56
2131 1695523810.740804 58 130.3 -9.3 -6.74
2132 1695523810.740804 61 156.2 -3.7 -6.75
2133 1695523810.740804 62 48.5 4.5 -6.77
2134 1695523810.740804 63 97 -2.2 -6.76
2135 1695523810.944098 9 11.2 51.1 -4.63
2136 1695523810.944098 12 27.2 0.6 -0.16
2137 1695523810.944098 13 13.1 29.9 -5.91
2138 1695523810.944098 14 123.1 5.2 -6.72
2139 1695523810.944098 16 29.5 -14.6 -6.62
2140 1695523810.944098 17 9.7 -43.5 -5.39
2141 1695523810.944098 19 169.6 -5.5 -6.74
2142 1695523810.944098 24 136.3 -5.4 -6.76
2143 1695523810.944098 25 77.2 2.3 -6.77
2144 1695523810.944098 27 35 8.1 -6.67
2145 1695523810.944098 29 154.5 -7.4 -6.72
2146 1695523810.944098 33 13 28.9 -5.96
2147 1695523810.944098 34 100.2 2.9 -6.76
2148 1695523810.944098 37 115.9 -0.4 -6.77
2149 1695523810.944098 38 51.6 -11.1 -6.7
2150 1695523810.944098 39 86.1 -2.1 -6.78
2151 1695523810.944098 40 16.2 35.9 -5.37
2152 1695523810.944098 41 37.9 -12.6 -6.7
2153 1695523810.944098 42 29 12.7 -6.64
2154 1695523810.944098 43 59.1 -8.9 -0.62
2155 1695523810.944098 46 163.1 -7.2 -6.75
2156 1695523810.944098 47 87 5.6 -6.71
2157 1695523810.944098 50 148.8 -5.1 -6.77
2158 1695523810.944098 51 175.1 -6.2 -6.73
2159 1695523810.944098 52 26.5 13.2 -6.55
2160 1695523810.944098 53 23.8 -17.3 -6.55
2161 1695523810.944098 54 135.6 -6.4 -6.79
2162 1695523810.944098 56 16 -25.1 -6.26
2163 1695523810.944098 60 63.7 4.1 -6.71
2164 1695523810.944098 61 154.1 -3.6 -6.75
